Region,City,Year,CAP,DGO,GAS,HSO,HSW,HFO,KJF,LPG,LSO,LSW,MSO,MSW,NAP,Configuration
ANZ,Altona,2005,78,23.4,33.1,0,0,2.2,10.8,3.1,0,70,5,0,1,Config_11
ANZ,Altona,2006,78,19,27.5,0,0,1.9,9.9,3.5,0,62,3,0,1.3,Config_11
ANZ,Altona,2007,78,15.9,31.9,0,0,1.4,10.1,3.7,0,62,3,0,0.9,Config_11
ANZ,Altona,2008,78,18.3,32.1,0,0,1.6,10,3.8,2,64,1,0,1.2,Config_11
ANZ,Altona,2009,78,18.5,32,0,0,1.2,10.4,3.7,5,61,1,0,0.9,Config_11
ANZ,Altona,2010,78,17.8,31.5,0,0,1.1,10.2,3.5,5,60,0,0,0.8,Config_11
ANZ,Altona,2011,78,19.5,30.4,0,0,0.9,10,3.4,10,55,0,0,0.7,Config_11
ANZ,Altona,2012,78,19.8,30.2,0,0,1.6,10.8,3.4,10,57,0,0,0.6,Config_11
ANZ,Altona,2013,78,23.7,33,0,0,0.8,12.4,3.7,15,60,0,0,0.5,Config_11
ANZ,Altona,2014,78,21.7,30.3,0,0,0.7,11.2,2.9,12,56,0,0,0.5,Config_11
ANZ,Altona,2015,78,20.5,32.5,0,0,0.4,10.6,2.9,12,55,0,0,0,Config_11
ANZ,Altona,2016,78,23.83898,38.04545,0,0,0.5200291,12.321,2.662418,12,66,0,0,0,Config_11
ANZ,Altona,2017,83.0000005,23.83898,38.04545,0,0,0.5200291,12.321,2.662418,12,66,0,0,0,Config_11
ANZ,Altona,2018,88.000001,25.97837,41.45979,0,0,0.5666984,13.42673,2.901352,0,85,0,0,0,Config_11
ANZ,Altona,2019,88.000001,25.36712,40.48426,0,0,0.5533643,13.1108,2.833085,0,83,0,0,0,Config_11
ANZ,Altona,2020,88.000001,,,0,0,,,,6,66,0,0,,Config_11
ANZ,Bonython,2005,25,2.2,4,0,0,0,1.4999999,0.9,0,10,0,0,1.3999999,Config_0
ANZ,Bonython,2006,25,1.9,4.1999998,0,0,0,1.6,0.9999999,0,10,0,0,1.3999999,Config_0
ANZ,Bonython,2007,25,2.2,3.9000001,0,0,0,1.4999999,0.9999999,0,10,0,0,1.3999999,Config_0
ANZ,Bonython,2008,25,2.2,3.9000001,0,0,0,1.4999999,0.9999999,0,10,0,0,1.3999999,Config_0
ANZ,Bonython,2009,25,2.2,3.9000001,0,0,0,1.4999999,0.9999999,0,10,0,0,1.3999999,Config_0
ANZ,Bonython,2010,25,2.2,3.9000001,0,0,0,1.6,0.9999999,0,10,0,0,1.3999999,Config_0
ANZ,Bonython,2011,25,2.3,3.8,0,0,0,1.6,0.9999999,0,10,0,0,1.3999999,Config_0
ANZ,Bonython,2012,25,2,3.9000001,0,0,0,1.7,0.9999999,0,10,0,0,1.3999999,Config_0
ANZ,Bonython,2013,25,2.1,3.9000001,0,0,0,1.6,0.9999999,0,10,0,0,1.3999999,Config_0
ANZ,Bonython,2014,25,2.2,3.9000001,0,0,0,1.6,0.9999999,0,10,0,0,1.3999999,Config_0
ANZ,Bonython,2015,25,2.2,3.9000001,0,0,0,1.6,0.9999999,0,10,0,0,1.3999999,Config_0
ANZ,Bonython,2016,25,2.2668376,4.0716384,0,0,0,1.6,0.9999999,0,10,0,0,1.3999999,Config_0
ANZ,Bonython,2017,25,2.255,3.98,0,0,0,1.6,0.9999999,0,10,0,0,1.3999999,Config_0
ANZ,Bonython,2018,25,2.257913,3.97,0,0,0,1.6,0.972,0,10,0,0,1.3999999,Config_0
ANZ,Bonython,2019,25,2.22782,3.9681485,0,0,0,1.6501954,1.035282,0,10,0,0,1.378989,Config_0
ANZ,Bonython,2020,25,,,0,0,,,,0,10,0,0,,Config_0
ANZ,Bulwer Island,2005,88,31.1,33.4,0,0,1.7,11.5,3.2,2,72,6,0,0.4,Config_18
ANZ,Bulwer Island,2006,88,30.8,33.9,0,0,1.8,12.4,3.7,5,73,4,0,0.6,Config_18
ANZ,Bulwer Island,2007,95.5,31.2,31.6,0,0,1.2,12.4,3.9,10,67,3,0,0.7,Config_18
ANZ,Bulwer Island,2008,95,32.7,29.2,0,0,1.2,11.7,4.1,11,67,0,0,1.1,Config_18
ANZ,Bulwer Island,2009,94,34.6,32.4,0,0,0.9,13.1,4,16,68,0,0,0.7,Config_18
ANZ,Bulwer Island,2010,94,33.8,31.7,0,0,0.8,12.9,3.7,16,66,0,0,0.5,Config_18
ANZ,Bulwer Island,2011,94,34.7,30.1,0,0,2.1,12.6,3.5,25,53,0,4,0.4,Config_18
ANZ,Bulwer Island,2012,94,34.8,28.2,0,0,1.4,12.9,3.6,15,60,0,5,0.4,Config_18
ANZ,Bulwer Island,2013,94,35.8,28.5,0,0,0.9,13.3,3.3,15,60,0,5,0.3,Config_18
ANZ,Bulwer Island,2014,94,34.1,26.8,0,0,1,12.3,2.9,15,55,0,5,0.2,Config_18
ANZ,Bulwer Island,2015,23.5,15.5,12.9,0,0,1,5.6,1.1,8,27,0,0,0,Config_18
ANZ,Clyde,2005,85,25.49932,39.79893,0,0,2.399936,11.79968,1.699955,0,73.91781,8,0,0.3999893,Config_11
ANZ,Clyde,2006,85,24.20053,39.50085,0,0,2.500054,12.50027,2.400052,5,72.19178,5,0,0.7000151,Config_11
ANZ,Clyde,2007,85,15,35.6,0,0,1.7,16.2,2.3,10,59,3,0,0.2,Config_11
ANZ,Clyde,2008,85,8.3,19.5,0,0,1.1,11.7,2.1,9,36,0,0,0.6,Config_11
ANZ,Clyde,2009,85,13.1,27.6,0,0,1,14.3,2.4,6,54,0,0,0.4,Config_11
ANZ,Clyde,2010,85,16.9,35.3,0,0,1.3,16.3,2.1,6,66,0,0,0.2,Config_11
ANZ,Clyde,2011,85,19.5,34.8,0,0,0.6,16.5,3,10,62,0,3,0.2,Config_11
ANZ,Clyde,2012,42.5,11.7,20.1,0,0,0.8,10.3,1.7,5,36,0,4,0.09999999,Config_11
ANZ,Eromanga,2005,1.425,0,0,0,0,0,0,0,0,0,0,0,0,Config_0
ANZ,Eromanga,2006,1.425,0,0,0,0,0,0,0,0,0,0,0,0,Config_0
ANZ,Eromanga,2007,1.425,0,0,0,0,0,0,0,0,0,0,0,0,Config_0
ANZ,Eromanga,2008,1.425,0,0,0,0,0,0,0,0,0,0,0,0,Config_0
ANZ,Eromanga,2009,1.425,0,0,0,0,0,0,0,0,0,0,0,0,Config_0
ANZ,Eromanga,2010,1.425,0,0,0,0,0,0,0,0,0,0,0,0,Config_0
ANZ,Eromanga,2011,1.425,0,0,0,0,0,0,0,0,0,0,0,0,Config_0
ANZ,Eromanga,2012,1.425,0,0,0,0,0,0,0,0,0,0,0,0,Config_0
ANZ,Eromanga,2013,1.425,0,0,0,0,0,0,0,0,0,0,0,0,Config_0
ANZ,Eromanga,2014,1.425,0,0,0,0,0,0,0,0,0,0,0,0,Config_0
ANZ,Eromanga,2015,1.425,0,0,0,0,0,0,0,0,0,0,0,0,Config_0
ANZ,Eromanga,2016,1.425,0,0,0,0,0,0,0,0,0,0,0,0,Config_0
ANZ,Eromanga,2017,1.425,0,0,0,0,0,0,0,0,0,0,0,0,Config_0
ANZ,Eromanga,2018,1.425,0,0,0,0,0,0,0,0,0,0,0,0,Config_0
ANZ,Eromanga,2019,1.425,0,0,0,0,0,0,0,0,0,0,0,0,Config_0
ANZ,Eromanga,2020,1.425,,,0,0,,,,0,0,0,0,,Config_0
ANZ,Geelong,2005,109.999999,31.59995,48.39994,0,0,2.899996,14.59998,2.399997,2,91.36986,8,0,0.699999,Config_6
ANZ,Geelong,2006,109.999999,30.79988,49.8998,0,0,3.099988,15.79994,2.999988,5,94.10959,5,0,0.999996,Config_6
ANZ,Geelong,2007,109.999999,26,45.8,0,0,2.1,14.4,3.2,9,81,3,0,0.5,Config_6
ANZ,Geelong,2008,109.999999,30.1,47.8,0,0,2.4,15,3.4,8,89,3,0,0.9,Config_6
